"Time( 07)","Access point","SSID","Client","Category","Event type","Details"
"Dec 16 08:02:56","KhuF_F301","UTH","61a5ff55-e983-4087-9e4e-f91935a9e335","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 32:F8:6F:57:5C:42"""
"Dec 16 08:02:56","KhuA_L1_HoiTruong2","UTH","5f0e00ad-0247-4bdd-b2ff-5deeb9251c33","802.11","802.11 disassociation","""unspecified reason"""
"Dec 16 08:02:56","KhuB_B004","UTH","d2:0d:21:fe:ff:8a","802.1X","802.1X authentication","""radio: 0, vap: 3, client_mac: D2:0D:21:FE:FF:8A"""
"Dec 16 08:02:56","KhuB_B004","UTH","d2:0d:21:fe:ff:8a","802.11","802.11 association","""channel: 11, rssi: 26, band: 2"""
"Dec 16 08:02:56","KhuC_C208","","Android","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.240.174.39, Source Port: 60078, Destination IP: 163.70.158.42"""
"Dec 16 08:02:56","KhuC_C105","UTH","4bbebd05-5dfe-44b4-bbe2-204e6dfffe80","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:56","KhuA_L1_Server","","6e:56:13:9e:6b:ef","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.242.101.58, Source Port: 48452, Destination IP: 163.70.159.42"""
"Dec 16 08:02:56","KhuD_D503","","Android_C2QUEQ7P","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.220.213.81, Source Port: 48546, Destination IP: 163.70.159.7"""
"Dec 16 08:02:56","KhuB_B004","UTH","6f2c3aec-3df7-4ae7-94ad-1428a9ad1ea4","802.11","802.11 disassociation","""client was deauthenticated"""
"Dec 16 08:02:56","KhuB_B105","","6b5e59e6-0670-4699-8d2c-688c7bf840f2","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.131.83.149, Source Port: 62121, Destination IP: 17.248.224.13"""
"Dec 16 08:02:56","KhuC_C009","","d43afd5d-69d4-42fc-8c07-d2fd1e688a63","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.0.57.242, Source Port: 62542, Destination IP: 23.45.207.199"""
"Dec 16 08:02:56","KhuC_C208","","Boo","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.183.192.145, Source Port: 51240, Destination IP: 57.144.160.141"""
"Dec 16 08:02:56","KhuC_C208","","Android_9L0VDFGX","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.52.143.109, Source Port: 57052, Destination IP: 163.70.159.42"""
"Dec 16 08:02:56","KhuC_C208","","Boo","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.183.192.145, Source Port: 46002, Destination IP: 163.70.159.7"""
"Dec 16 08:02:56","KhuE_E201","","96:a1:2b:0d:90:01","Events dropped","Events dropped","""175 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:56","KhuE_E201","","5a699385-a9fb-4ddd-b72d-29fe9f364695","Events dropped","Events dropped","""398 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:56","KhuC_C208","","Boo","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.183.192.145, Source Port: 46000, Destination IP: 163.70.159.7"""
"Dec 16 08:02:55","KhuB_B203","","3b57cf18-ff6b-46c5-859f-663fc0bdfa57","Events dropped","Events dropped","""587 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:55","KhuC_C201","","7f1fd198-f8d3-432e-b7c2-25b75548d09d","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.70.197.227, Source Port: 61343, Destination IP: 17.248.224.27"""
"Dec 16 08:02:55","KhuC_C201","","7f1fd198-f8d3-432e-b7c2-25b75548d09d","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.70.197.227, Source Port: 61342, Destination IP: 17.248.224.13"""
"Dec 16 08:02:55","KhuC_C201","","7f1fd198-f8d3-432e-b7c2-25b75548d09d","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.70.197.227, Source Port: 61341, Destination IP: 17.248.224.69"""
"Dec 16 08:02:55","KhuC_C008","UTH","9a:0b:88:da:7b:13","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 9A:0B:88:DA:7B:13"""
"Dec 16 08:02:55","KhuC_C008","UTH","9a:0b:88:da:7b:13","802.11","802.11 association","""channel: 52, rssi: 15, band: 5"""
"Dec 16 08:02:55","KhuB_B308","UTH","99b03127-ec8b-44f1-8097-2dcad63130c0","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 90:09:DF:0A:0E:1A"""
"Dec 16 08:02:55","KhuB_B308","UTH","99b03127-ec8b-44f1-8097-2dcad63130c0","802.11","802.11 association","""channel: 64, rssi: 50, band: 5"""
"Dec 16 08:02:55","KhuC_C204","UTH","f6:aa:ef:37:24:6f","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: F6:AA:EF:37:24:6F"""
"Dec 16 08:02:55","KhuC_C204","UTH","f6:aa:ef:37:24:6f","802.11","802.11 association","""channel: 52, rssi: 41, band: 5"""
"Dec 16 08:02:55","KhuC_C208","","10-35-215-190","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.35.215.190, Source Port: 43090, Destination IP: 163.70.159.42"""
"Dec 16 08:02:55","KhuC_C001","UTH","8a74e305-a2c9-4feb-a1c8-e63cc43c83b2","802.1X","802.1X authentication","""radio: 0, vap: 3, client_mac: 42:0B:ED:A7:F5:5B"""
"Dec 16 08:02:55","KhuC_C001","UTH","8a74e305-a2c9-4feb-a1c8-e63cc43c83b2","802.11","802.11 association","""channel: 11, rssi: 21, band: 2"""
"Dec 16 08:02:55","KhuF_F402","UTH","de:f5:86:1a:7f:8d","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: DE:F5:86:1A:7F:8D"""
"Dec 16 08:02:55","KhuF_F402","UTH","de:f5:86:1a:7f:8d","802.11","802.11 association","""channel: 108, rssi: 24, band: 5"""
"Dec 16 08:02:55","KhuD_D503","","Android_C2QUEQ7P","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.220.213.81, Source Port: 45798, Destination IP: 163.70.159.5"""
"Dec 16 08:02:55","KhuE_E101","UTH","c1626b26-8ab6-4853-af58-5c376a7723b0","802.1X","802.1X authentication","""radio: 0, vap: 3, client_mac: 06:25:44:43:2B:3C"""
"Dec 16 08:02:55","KhuE_E101","UTH","c1626b26-8ab6-4853-af58-5c376a7723b0","802.11","802.11 association","""channel: 1, rssi: 29, band: 2"""
